List,Stimulus,Stimulus_raw,Stimulus_English,Category,Typicality,Typicality_class,Typicality_rating,AoA_rating,Familiarity_rating,Frequency_DlexDB,logFreq_WebXL_lemma,Length,NameAgrmnt_Avrg,Naming_Round,Picture,Audio_Name,Image_Link,Audio_Link,
2,Fähre,Faehre,ferry,vehicle,midtypical,3,3.05,3.9,3.263157895,2.150045776,4.81883269,4,76,1,Faehre_adjusted.jpg,Faehre.wav,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Final_Images/Faehre_adjusted.jpg,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Audios/Faehre.wav,
2,Fenchel,Fenchel,fennel,vegetable,atypical,3,3.588,5.15,2.85,1.226,4.321,6,78,2,Fenchel_adjusted.jpg,Fenchel.wav,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Final_Images/Fenchel_adjusted.jpg,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Audios/Fenchel.wav,
2,Wassermelone,Wassermelone,melon,fruit,midtypical,2,2,4,4.4,1,4.312,6,99,1,Wassermelone_adjusted.jpg,Wassermelone.wav,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Final_Images/Wassermelone_adjusted.jpg,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Audios/Wassermelone.wav,
2,Zug,Zug,train,vehicle,typical,1,1.1,2,5,125.299,5.909,3,90,2,Zug_new.jpg,Zug.wav,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Final_Images/Zug_new.jpg,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Audios/Zug.wav,
2,Floß,Floss,raft,vehicle,atypical,3,5.15,4,2,2.338,3.97,4,83,2,Floss_adjusted.jpg,Floss.wav,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Final_Images/Floss_adjusted.jpg,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Audios/Floss.wav,
2,Zitrone,Zitrone,lemon,fruit,midtypical,1,2,3,4.45,4,5.016,7,100,1,Zitrone_adjusted.jpg,Zitrone.wav,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Final_Images/Zitrone_adjusted.jpg,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Audios/Zitrone.wav,
2,Gitarre,Gitarre,guitar,musical instrument,typical,1,1,3,4,2.6,5.213,6,100,1,Gitarre_adjusted.jpg,Gitarre.wav,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Final_Images/Gitarre_adjusted.jpg,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Audios/Gitarre.wav,
2,Eidechse,Eidechse,lizard,animal,atypical,3,3.2,3.15,2.9,2.575,3.745,6,75,2,Eidechse_new.jpg,Eidechse.wav,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Final_Images/Eidechse_new.jpg,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Audios/Eidechse.wav,
2,Handschuh,Handschuh,glove,clothes,midtypical,2,2.9,2,4,10.963,4.981,6,99,1,Handschuh_adjusted.jpg,Handschuh.wav,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Final_Images/Handschuh_adjusted.jpg,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Audios/Handschuh.wav,
2,Querflöte,Querfloete,flute,musical instrument,typical,1,2,5,3,0.147,3.739,9,76,1,Querfloete_adjusted.jpg,Querfloete.wav,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Final_Images/Querfloete_adjusted.jpg,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Audios/Querfloete.wav,
2,Sprosse,Sprosse,shoot,vegetable,atypical,3,4.55,5.35,2.684,2.354,4.204,6,92,2,Sprosse_new.jpg,Sprosse.wav,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Final_Images/Sprosse_new.jpg,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Audios/Sprosse.wav,
2,Hubschrauber,Hubschrauber,helicopter,vehicle,midtypical,2,2.3,3,4,3.049,4.637,8,98,1,Hubschrauber_adjusted.jpg,Hubschrauber.wav,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Final_Images/Hubschrauber_adjusted.jpg,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Audios/Hubschrauber.wav,
2,Hirsch,Hirsch,stag / deer,animal,typical,1,1.6,2.85,2.95,10.995,4.689,4,88,2,Hirsch_adjusted.jpg,Hirsch.wav,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Final_Images/Hirsch_adjusted.jpg,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Audios/Hirsch.wav,
2,Gazelle,Gazelle,gazelle,animal,atypical,3,3.1,4.8,2.421,0.695,3.657,6,72,1,Gazelle_adjusted.jpg,Gazelle.wav,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Final_Images/Gazelle_adjusted.jpg,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Audios/Gazelle.wav,
2,Schal,Schal,shawl,clothes,midtypical,2,2.3,2,4,3.548,4.945,3,100,1,Schal_adjusted.jpg,Schal.wav,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Final_Images/Schal_adjusted.jpg,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Audios/Schal.wav,
2,Affe,Affe,monkey,animal,typical,1,1.2,1.8,3.7,10.366,4.884,3,100,1,Affe_adjusted.jpg,Affe.wav,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Final_Images/Affe_adjusted.jpg,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Audios/Affe.wav,
2,Tuba,Tuba,tuba,musical instrument,atypical,3,4,5,2,0.58,3.629,4,60,2,Tuba_new.jpg,Tuba.wav,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Final_Images/Tuba_new.jpg,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Audios/Tuba.wav,
2,Akkordeon,Akkordeon,accordion,musical instrument,midtypical,2,2,4,3,0.638,4.15,8,91,1,Akkordeon_adjusted.jpg,Akkordeon.wav,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Final_Images/Akkordeon_adjusted.jpg,https://www.ling.uni-potsdam.de/~lampe/SemMerk/Audios/Akkordeon.wav,
